15,5,0,8.7,4
14,7,0,8.7,4
16,9,0,8.7,4
10,4,0,5.5,2
10,3,0,8.7,3
11,5,0,8.7,3
12,9,0,5.5,3
9,4,0,4,2
5,2,0,8.7,2
7,1,0,8.7,2
7,5,0,4,2
9,4,0,5.5,2
6,3,0,7.1,1
7,2,0,7.1,2
7,1,0,8.7,2
10,2,0,8.7,3
11,4,0,8.7,2
8,3,0,8.7,3
9,1,0,8.7,3
11,3,0,8.7,2
6,0,0,8.7,2
5,-1,0,8.7,2
10,2,0,8.7,3
15,5,0,8.7,3
16,8,0,8.7,3
9,5,0,5.6,2
12,4,0,8.7,3
14,6,0,8.7,4
12,7,0,5.6,3
17,8,0,8.7,4
17,8,0,8.7,4
24,13,0,8.7,5
17,11,0,8.7,4
10,4,0,4.1,2
6,3,0,8.7,2
6,4,0,4.1,2
9,8,0,4.1,2
7,3,0,4.1,2
6,1,0,5.6,1
3,0,0.3,4.1,1
3,-1,0.1,8.7,1
5,-2,0,7.2,1
6,1,0,4.1,1
7,4,0,4.1,2
8,2,0,7.2,2
9,0,0,8.7,3
8,5,0,4.2,2
9,6,0,4.2,2
4,2,0,4.2,1
6,1,0,4.2,1
9,1,0,7.2,2
9,2,0,8.7,3
10,4,0,7.2,2
12,5,0,8.7,3
11,6,0,4.2,2
10,9,0,4.2,2
11,8,0,4.2,2
14,7,0,5.7,3
9,7,0,4.2,2
8,5,0,4.2,2
11,4,0,7.2,2
12,6,0,8.7,3
11,7,0,4.3,2
10,4,0,8.7,3
7,3,0,4.3,2
10,3,0,7.2,2
7,2,0,4.3,2
13,2,0,8.7,3
13,2,0,5.8,3
14,7,0,11.6,4
15,7,0,6,3
11,3,0,11.6,3
14,3,0,11.6,4
18,6,0,11.6,4
19,9,0,11.6,5
24,13,0,11.6,4
24,10,0,11.6,5
13,8,0,7.5,3
13,6,0,11.8,3
14,3,0,12.5,4
15,5,0,12.5,4
15,7,0,12.5,4
13,9,0,11.8,4
14,6,0,11.8,3
15,6,0,11.8,3
17,9,0,12.6,4
18,12,0,9.2,4
20,14,0,9.2,4
20,10,0,12.7,5
15,10,0,12.7,3
17,11,0,11.9,3
18,10,0,10.6,4
19,9,0,12.7,4
19,6,0,12.7,4
20,7,0,12.8,4
15,4,0,12.8,3
17,10,0,12.8,4
20,12,0,12.8,4
20,11,0,12.8,4
