15,5,0,8.7,4,0
14,7,0,8.7,4,2
16,9,0,8.7,4,10
10,4,0,5.5,2,17
10,3,0,8.7,3,24
11,5,0,8.7,3,31
12,9,0,5.5,3,39
9,4,0,4,2,46
5,2,0,8.7,2,53
7,1,0,8.7,2,61
7,5,0,4,2,68
9,4,0,5.5,2,75
6,3,0,7.1,1,82
7,2,0,7.1,2,90
7,1,0,8.7,2,97
10,2,0,8.7,3,100
11,4,0,8.7,2,89
8,3,0,8.7,3,81
9,1,0,8.7,3,74
11,3,0,8.7,2,67
6,0,0,8.7,2,59
5,-1,0,8.7,2,52
10,2,0,8.7,3,45
15,5,0,8.7,3,38
16,8,0,8.7,3,30
9,5,0,5.6,2,23
12,4,0,8.7,3,16
14,6,0,8.7,4,9
12,7,0,5.6,3,1
17,8,0,8.7,4,0
17,8,0,8.7,4,0
24,13,0,8.7,5,6
17,11,0,8.7,4,14
10,4,0,4.1,2,21
6,3,0,8.7,2,29
6,4,0,4.1,2,36
9,8,0,4.1,2,44
7,3,0,4.1,2,51
6,1,0,5.6,1,59
3,0,0.3,4.1,1,66
3,-1,0.1,8.7,1,74
5,-2,0,7.2,1,81
6,1,0,4.1,1,89
7,4,0,4.1,2,97
8,2,0,7.2,2,100
9,0,0,8.7,3,88
8,5,0,4.2,2,81
9,6,0,4.2,2,73
4,2,0,4.2,1,66
6,1,0,4.2,1,58
9,1,0,7.2,2,51
9,2,0,8.7,3,43
10,4,0,7.2,2,36
12,5,0,8.7,3,28
11,6,0,4.2,2,20
10,9,0,4.2,2,13
11,8,0,4.2,2,5
14,7,0,5.7,3,0
9,7,0,4.2,2,0
8,5,0,4.2,2,0
11,4,0,7.2,2,2
12,6,0,8.7,3,9
11,7,0,4.3,2,16
10,4,0,8.7,3,24
7,3,0,4.3,2,31
10,3,0,7.2,2,38
7,2,0,4.3,2,46
13,2,0,8.7,3,53
13,2,0,5.8,3,60
14,7,0,11.6,4,67
15,7,0,6,3,75
11,3,0,11.6,3,82
14,3,0,11.6,4,89
18,6,0,11.6,4,96
19,9,0,11.6,5,100
24,13,0,11.6,4,89
24,10,0,11.6,5,82
13,8,0,7.5,3,74
13,6,0,11.8,3,67
14,3,0,12.5,4,60
15,5,0,12.5,4,53
